대상,정책명,요약,링크
신혼부부,신혼부부 임차보증금 반환보증 보증료 지원,신혼부부 임차보증금 이자지원 신규 대출자 대상(’24.7.30. 이후) 임차보증금 미반환 피해를 예방하고자 가입한 임차보증금 반환보증의 보증료를 지원하는 사업입니다.,https://housing.seoul.go.kr/site/main/content/sh01_0400811
신혼부부,전세보증금 반환보증 보증료 지원,전세 피해 예방을 위한 전세보증금 반환보증료 지원사업의 대상이 청년에서 전 연령층으로 확대 시행 됩니다.,https://housing.seoul.go.kr/site/main/content/sh01_061030
신혼부부,신혼부부 임차보증금 이자지원,신혼부부들의 행복한 미래를 위해 더 나은 주거환경과 소득대비 높은 주거비 부담을 완화하기 위해 신혼부부 임차보증금 지원사업을 시행합니다.,https://housing.seoul.go.kr/site/main/content/sh01_0400800
신혼부부,건물 에너지 효율화 사업 융자지원,"에너지 이용 효율을 높이고 온실가스를 감축하기 위해 건물 단열공사, LED 조명교체, 고효율 보일러 교체 등의 에너지 절약 설비 설치 시 시민들의 경제 부담을 완화시키기 위해 장기·무이자로 융자를 지원해주는 사업 입니다.",https://housing.seoul.go.kr/site/main/content/sh01_070902
신혼부부,주택개량 신축융자지원,저층주거지 내 노후주택 집수리 융자 지원 집수리 공사비용의 일부를 지원하여 저층주거지 내 노후주택 거주자의 주거환경을 개선하기 위한 사업입니다.,https://housing.seoul.go.kr/site/main/content/sh01_070802
신혼부부,안심 집수리 보조사업,"반지하 주택, 주거 취약가구 거주주택 등 취약 거주시설의 주거환경 개선을 위해 집수리 보조금 일부를 지원하는 사업입니다.",https://housing.seoul.go.kr/site/main/content/sh01_070801
신혼부부,집수리 아카데미,"주택의 자가진단, 견적서 보는 법, 단열·방수 등 분야별 이론교육과 공구사용법 등 다양한 실습교육을 통해 스스로 집수리를 할 수 있도록 도움을 드리는 교육과정입니다.",https://housing.seoul.go.kr/site/main/content/sh01_070704
신혼부부,슬레이트 처리 및 지붕 개량,1군 발암물질인 석면을 10~15% 가량 고함량으로 함유하고 있는 슬레이트를 지붕으로 쓰고 있는 70년대 초 낡은 가옥들의 노후화에 따른 석면 피해를 줄이기 위해 슬레이트 지붕의 조기 철거와 처리를 위한 사업 입니다.,https://housing.seoul.go.kr/site/main/content/sh01_070703
신혼부부,공동체 주택,"독립된 공동체공간(커뮤니티 공간)을 설치한 주거공간으로, 공동체 규약을 마련하여 입주자간 소통·교류를 통해 생활 문제를 해결하거나 공동체활동을 함께하는 새로운 형태의 주택입니다.",https://housing.seoul.go.kr/site/main/content/sh01_050101
신혼부부,신축주택 매입임대주택,"서울시에서 생활하는 저소득층, 저소득 청년층 및 신혼부부의 주거안정을 위해 중앙정부·서울시·서울주택도시공사의 재정과 주택도시기금을 지원받아 서울주택도시공사에서 주택을 매입하여 현 생활권에서 최장 20년까지 거주할 수 있도록 주변시세보다 저렴하게 공급하는 공공임대주택입니다.",https://housing.seoul.go.kr/site/main/content/sh01_030900
신혼부부,신혼희망타운,"내집마련의 부담을 느끼는 신혼부부를 위해 육아·보육을 비롯한 신혼부부 수요를 반영하여 건설하고, 전량을 신혼부부에게 공급하는 신혼부부 특화형 공공주택입니다.",https://housing.seoul.go.kr/site/main/content/sh01_060511
신혼부부,희망의 집수리 사업,주택 수리를 통하여 저소득 주거취약가구의 열악한 주거환경을 개선하여 주택 에너지 효율을 개선하고 삶의 질을 향상하기 위한 사업입니다.,https://housing.seoul.go.kr/site/main/content/sh01_070701
신혼부부,주거급여 수급자 지원(임차급여),주거급여 수급자 가구 중 타인에 주택 등에 거주하면서 임대차 계약(전대차 계약 포함)을 체결하고 이에 따라 임차료를 지불하고 있는 사람에게 일정한 임차급여를 지원하여 주거안정에 기여하는 제도입니다.,https://housing.seoul.go.kr/site/main/content/sh01_061021
신혼부부,서울형 주택바우처(특정바우처),쪽방 및 사회복지시설 퇴거자의 임대료 지원을 위해 민간임대주택으로 이주한 가구의 초기 주거 안정 및 정착을 돕기 위하여 임대료 일부를 지원하는 사업입니다.,https://housing.seoul.go.kr/site/main/content/sh01_061024
신혼부부,서울형 주택바우처(일반바우처),"저소득 서민의 주거비 부담 완화를 위해 민간월세로 거주하는 저소득 서민의 주거비 부담을 최소화하고, 주거 취약계층의 주거안정을 도모하기 위해 서울형 주택 바우처(임대료 보조지원)을 지원합니다.",https://housing.seoul.go.kr/site/main/content/sh_061010
