policy_id,min_age,max_age,income_rule_type,income_threshold,asset_threshold,is_homeowner_required,vehicle_value_limit
sh01_0400811,,,NONE,,,True,
p_2a1486ad934c6c7a,19.0,39.0,NONE,,,True,
sh01_0400800,,,NONE,,,True,
p_6362efa2ba11eb1d,,,NONE,,,False,
p_e413051ee4d9701c,,,NONE,,,False,
p_fb09fb06244cc80a,,,NONE,,,False,
p_355bb921e60afd69,,,NONE,,,False,
p_0f8152ae49b78593,,,NONE,,,False,
p_cefac675cd051877,,,NONE,,,False,
p_50b88854c4dbb694,19.0,39.0,NONE,,,True,
p_5f9ce2c2a6283a79,3.0,6.0,NONE,,,True,
p_9f8c702f5875eaac,,,MEDIAN_RATIO,,,False,
p_e888e4731313f4d5,,,MEDIAN_RATIO,,,False,
p_ba491b0477789c7f,,,NONE,,,False,
p_a85af07068e2e3ff,,,MEDIAN_RATIO,,,True,
p_50da6a51594106e1,,,MEDIAN_RATIO,,,False,
p_8e825b49139f35a9,,,NONE,,215500000.0,True,
p_c7c5b20909fc5f6a,,,NONE,,215500000.0,True,
p_e1d01c76f0b78ade,,,NONE,,237000000.0,True,
p_afea45fea388c43b,19.0,39.0,NONE,,,True,38030000.0
p_da9377b8500b8832,65.0,,NONE,,,True,
p_61c044f233705f9f,,6.0,NONE,,,False,38030000.0
p_bcbfed75c2f021d8,65.0,,MEDIAN_RATIO,,,False,
p_7c7cc8e27ccf7eb1,19.0,,NONE,,,True,
p_a178dd52af2b0738,,,NONE,,,True,38030000.0
p_ceb546ebc7b8bfae,19.0,39.0,NONE,,,True,
p_5088a93dcbf601a4,65.0,,NONE,,,True,38030000.0
p_f5c1bb4199752163,,,NONE,,104000000.0,True,
p_ce5966f10323c2e4,19.0,39.0,NONE,,,False,
p_6a48c83f4a414b63,,,NONE,,,False,
p_b3681396c6eb3c5d,19.0,39.0,MEDIAN_RATIO,,,True,
p_afcdfcafdce82cc1,,,NONE,,,True,
p_68b6513c238ca91d,19.0,35.0,NONE,,337000000.0,True,
p_f076d1a5ce1f9c48,,,NONE,,,False,
p_7668ac173f2a45d3,,,NONE,,,False,
p_1a8bd219512c307c,,,NONE,,,True,
p_e55dcbab764795a9,,,NONE,,,False,
p_b2ae5c174a5b4d04,,,NONE,,,False,
p_08666327371185b5,,,NONE,,,False,
p_0f499d6721063107,,,NONE,,,False,
p_6b0a376104ef133f,,,NONE,,,False,
p_43763e1f5887de9b,,,NONE,,,False,
p_769bdbf7c3bf25d7,,,NONE,,,False,
sh01_061030,19.0,39.0,NONE,,,True,
sh01_070902,,,NONE,,,True,
sh01_070802,,,NONE,,,True,
sh01_070801,,,NONE,,,True,
sh01_070704,,,NONE,,,True,
sh01_070703,,,NONE,,,True,
sh01_050101,,,NONE,,,True,
sh01_030900,19.0,39.0,NONE,,,True,
sh01_060511,3.0,6.0,NONE,,,True,
sh01_070701,,,MEDIAN_RATIO,,,True,
sh01_061021,,,MEDIAN_RATIO,,,True,
sh01_061024,,,NONE,,,True,
sh01_080200,,,MEDIAN_RATIO,,,True,
sh01_050602,,,NONE,,215500000.0,True,
sh01_050601,,,NONE,,215500000.0,True,
sh01_050500,,,NONE,,237000000.0,True,
sh01_060502,19.0,39.0,NONE,,,True,38030000.0
sh01_031100,65.0,,NONE,,,True,
sh01_031000,,6.0,NONE,,,True,38030000.0
sh01_061028,65.0,,MEDIAN_RATIO,,,True,
sh01_061031,,,NONE,,,True,
sh01_030800,19.0,,NONE,,,True,
sh01_030600,,,NONE,,,True,38030000.0
sh01_030500,19.0,39.0,NONE,,,True,
sh01_030300,65.0,,NONE,,,True,38030000.0
sh01_031200,,,NONE,,104000000.0,True,
sh01_040901,19.0,39.0,NONE,,,True,
sh01_060506,,,NONE,,,True,
sh01_060513,19.0,39.0,MEDIAN_RATIO,,,True,
sh01_061027,,,NONE,,,True,
sh01_050603,19.0,35.0,NONE,,337000000.0,True,
sh01_060510,,,NONE,,,True,
sh01_060504,,,NONE,,,True,
sh01_050700,,,NONE,,,True,
bokjiro_WLF00006181,,,NONE,,,False,
bokjiro_WLF00002109,,,NONE,,,False,
bokjiro_WLF00005414,,,NONE,,,False,
bokjiro_WLF00005247,,,NONE,,,False,
bokjiro_WLF00002617,,,NONE,,,False,
bokjiro_WLF00005572,,,NONE,,,False,
bokjiro_WLF00002637,,,NONE,,,False,
