policy_id,min_age,max_age,income_rule_type,income_threshold,asset_threshold,is_homeowner_required,vehicle_value_limit
1,,,NONE,,,True,
2,19.0,39.0,NONE,,,True,
3,,,NONE,,,True,
4,,,NONE,,,False,
5,,,NONE,,,False,
6,,,NONE,,,False,
7,,,NONE,,,False,
8,,,NONE,,,False,
9,,,NONE,,,False,
10,19.0,39.0,NONE,,,True,
11,3.0,6.0,NONE,,,True,
12,,,MEDIAN_RATIO,,,False,
13,,,MEDIAN_RATIO,,,False,
14,,,NONE,,,False,
15,,,MEDIAN_RATIO,,,True,
16,,,MEDIAN_RATIO,,,False,
17,,,NONE,,215500000.0,True,
18,,,NONE,,215500000.0,True,
19,,,NONE,,237000000.0,True,
20,19.0,39.0,NONE,,,True,38030000.0
21,65.0,,NONE,,,True,
22,,6.0,NONE,,,False,38030000.0
23,65.0,,MEDIAN_RATIO,,,False,
24,19.0,,NONE,,,True,
25,,,NONE,,,True,38030000.0
26,19.0,39.0,NONE,,,True,
27,65.0,,NONE,,,True,38030000.0
28,,,NONE,,104000000.0,True,
29,19.0,39.0,NONE,,,False,
30,,,NONE,,,False,
31,19.0,39.0,MEDIAN_RATIO,,,True,
32,,,NONE,,,True,
33,19.0,35.0,NONE,,337000000.0,True,
34,,,NONE,,,False,
35,,,NONE,,,False,
36,,,NONE,,,True,
37,,,NONE,,,False,
38,,,NONE,,,False,
39,,,NONE,,,False,
40,,,NONE,,,False,
41,,,NONE,,,False,
42,,,NONE,,,False,
43,,,NONE,,,False,
44,19.0,39.0,NONE,,,True,
45,,,NONE,,,True,
46,,,NONE,,,True,
47,,,NONE,,,True,
48,,,NONE,,,True,
49,,,NONE,,,True,
50,,,NONE,,,True,
51,19.0,39.0,NONE,,,True,
52,3.0,6.0,NONE,,,True,
53,,,MEDIAN_RATIO,,,True,
54,,,MEDIAN_RATIO,,,True,
55,,,NONE,,,True,
56,,,MEDIAN_RATIO,,,True,
57,,,NONE,,215500000.0,True,
58,,,NONE,,215500000.0,True,
59,,,NONE,,237000000.0,True,
60,19.0,39.0,NONE,,,True,38030000.0
61,65.0,,NONE,,,True,
62,,6.0,NONE,,,True,38030000.0
63,65.0,,MEDIAN_RATIO,,,True,
64,,,NONE,,,True,
65,19.0,,NONE,,,True,
66,,,NONE,,,True,38030000.0
67,19.0,39.0,NONE,,,True,
68,65.0,,NONE,,,True,38030000.0
69,,,NONE,,104000000.0,True,
70,19.0,39.0,NONE,,,True,
71,,,NONE,,,True,
72,19.0,39.0,MEDIAN_RATIO,,,True,
73,,,NONE,,,True,
74,19.0,35.0,NONE,,337000000.0,True,
75,,,NONE,,,True,
76,,,NONE,,,True,
77,,,NONE,,,True,
78,,,NONE,,,False,
79,,,NONE,,,False,
80,,,NONE,,,False,
81,,,NONE,,,False,
82,,,NONE,,,False,
83,,,NONE,,,False,
84,,,NONE,,,False,
